Date,Close/Last,Volume,Open,High,Low
07/19/2019,$430,308,$431.75,$433.6,$429
07/18/2019,$432.3,101,$428.5,$432.3,$428.5
07/17/2019,$428.63,212,$433,$434.4,$428.63
07/16/2019,$430.61,466,$430,$433.9473,$430
07/15/2019,$430.9667,530,$428.7,$430.9667,$428.7
07/12/2019,$433.6613,658,$432,$433.6613,$431
07/11/2019,$432,313,$432.4,$432.4,$429.25
07/10/2019,$428,647,$430.5,$431.18,$428
07/09/2019,$429,662,$427.85,$430.5,$427.65
07/08/2019,$430.3,324,$428.45,$430.3,$427.66
07/05/2019,$427.63,362,$426.75,$428.49,$425.3
07/03/2019,$429.58,3361,$428.85,$429.58,$427.82
07/02/2019,$427.01,653,$423.55,$429.389,$423.55
07/01/2019,$422.8,4833,$423.65,$424.745,$421.94
06/28/2019,$424.9475,154,$422.65,$426.64,$422.65
06/27/2019,$419.94,448,$418.7,$419.94,$417
06/26/2019,$417.49,131,$421.7,$421.7,$417.04
06/25/2019,$422.95,330,$422.43,$424.04,$420.27
06/24/2019,$421.65,306,$418.75,$422.96,$418.75
06/21/2019,$418.75,272,$416.14,$418.75,$416.04
06/20/2019,$418.75,828,$418,$419.71,$415.9
06/19/2019,$412.8,466,$411.5,$413.06,$409.35
06/18/2019,$414,216,$411.63,$414.4,$411.63
06/17/2019,$402.08,155,$398.4,$402.22,$398.4
06/14/2019,$397.68,298,$399.25,$399.25,$396.04
06/13/2019,$401.7,63,$400,$401.7,$398.89
06/12/2019,$402.2,349,$404.55,$404.65,$402.2
06/11/2019,$408.35,12643,$409.8,$409.8,$407.28
06/10/2019,$404,252,$405.55,$406.14,$404
06/07/2019,$405.8,1477,$401.3,$408.33,$401.3
06/06/2019,$395,430,$398.4,$398.4,$393.75
06/05/2019,$392.5,198,$395.85,$395.85,$392.5
06/04/2019,$383,111,$384.4,$384.62,$382.4
06/03/2019,$379.48,651,$376.3,$380.1,$376.3
05/31/2019,$375.6,304,$373.6,$378.06,$371.8
05/30/2019,$380,421,$380.27,$380.27,$378.6
05/29/2019,$376,324,$377.9,$377.9,$375.76
05/28/2019,$380,522,$382.2,$382.39,$380
05/24/2019,$378.41,747,$375.74,$378.41,$375.74
05/23/2019,$373.96,101,$371.5,$373.96,$369.51
05/22/2019,$375.76,86,$374.03,$375.8,$374.03
05/21/2019,$375.43,191,$373,$375.43,$373
05/20/2019,$369.22,400,$370.1,$370.1,$366.05
05/17/2019,$380.4,190,$378.65,$382,$378.65
05/16/2019,$382.22,158,$374.6,$382.22,$374.6
05/15/2019,$374.75,104,$369.1,$378.51,$369.1
05/14/2019,$376.46,508,$373.25,$377,$371.35
05/13/2019,$363.68,478,$366.45,$366.45,$362.16
05/10/2019,$382,336,$377.4,$382,$373.65
05/09/2019,$375.54,341,$373.65,$377.23,$372.45
05/08/2019,$381,1123,$377.85,$382.26,$376.6242
05/07/2019,$371.47,1130,$378.15,$378.35,$371.43
05/06/2019,$388.41,724,$383.1,$388.41,$381.2
05/03/2019,$398,309,$393.15,$398.93,$393.15
05/02/2019,$393.35,481,$391.95,$393.35,$389.85
05/01/2019,$391.86,300,$390.25,$394.3,$390.25
04/30/2019,$393.76,724,$387.7,$393.76,$387.7
04/29/2019,$387.04,628,$384.95,$387.42,$383
04/26/2019,$387.45,365,$385.75,$387.45,$383.51
04/25/2019,$388.54,815,$386.8,$388.58,$385.75
04/24/2019,$390.77,237,$393.3,$394.55,$390.73
04/23/2019,$393.37,1717,$389.85,$393.37,$389.85
04/22/2019,$396.645,1170,$395.18,$398.25,$395.18
04/18/2019,$396.25,1077,$397.2,$398,$396.2
04/17/2019,$398.15,1355,$393.45,$398.15,$393.45
04/16/2019,$391.95,1110,$389.5,$391.95,$389.2
04/15/2019,$388.54,721,$389.05,$389.05,$385.35
04/12/2019,$388.8,490,$388.35,$388.88,$386.25
04/11/2019,$387,2872,$388.2,$389.95,$386.46
04/10/2019,$378.04,5622,$371.35,$386.42,$371.25
04/09/2019,$372.875,1230,$369.75,$372.875,$368
04/08/2019,$374,7270,$376.4,$376.4,$372.7079
04/05/2019,$376.8,340,$376.29,$378.9,$376.29
04/04/2019,$376.11,72,$374.95,$376.11,$373.6
04/03/2019,$375,615,$373.75,$376.23,$373.75
04/02/2019,$371.49,353,$373.95,$375.95,$371.45
04/01/2019,$375,877,$373.95,$375,$370.6
03/29/2019,$368.7475,90,$367.49,$369.8,$366.7
03/28/2019,$366.19,220,$366.2,$366.25,$363.04
03/27/2019,$363.89,154,$364.1,$365.84,$361.54
03/26/2019,$364.1,981,$363.9,$364.2,$362.7
03/25/2019,$357.45,1034,$357.8,$360.45,$356.3
03/22/2019,$355.05,954,$356.55,$356.55,$352.65
03/21/2019,$362.9,58,$361.5,$362.9,$361
03/20/2019,$360.65,873,$364,$368,$360.65
03/19/2019,$363.95,94,$363.3,$364.66,$361.69
03/18/2019,$360.87,87,$359.4,$361.25,$357.87
03/15/2019,$361,356,$360.35,$362.15,$359.9
03/14/2019,$356.615,38,$355.51,$357.43,$354.37
03/13/2019,$350.25,1848,$350.8,$353.51,$350.25
03/12/2019,$349.1,105,$347.05,$349.96,$345.3
03/11/2019,$345.35,449,$343.05,$345.35,$341.29
03/08/2019,$345.6,97,$341.4,$345.6,$341.4
03/07/2019,$341.2,459,$344.2,$344.88,$341.2
